n_params,inference_time,average_latency,threshold,AUROC,precision,recall,accuracy,F1,TP,TN,FP,FN,model,fold,window
1657967,2376.736728668213,28.294484865097772,45100.713437499995,0.9768320174806827,0.8579525737420475,0.9496798975672215,0.9243671993467865,0.9014889091461563,14834,24789,2456,786,vae-lstm-local-only,0,576-48
1657967,1317.8231344223022,15.50380158143885,24184.0678125,0.9662426381412352,0.9135690540948928,0.8527503526093089,0.9251037007855769,0.882112634957689,12092,27829,1144,2088,vae-lstm-local-only,0,288-48
1014319,1516.7220602035522,17.8437889435712,27969.064531250002,0.9628312888167803,0.8993474836870922,0.8456276445698166,0.9181748661738466,0.8716606695016902,11991,27631,1342,2189,vae-lstm-local-only,0,288-24
1014319,905.2434287071228,10.649922690672033,12990.29687500001,0.9606532043518671,0.9145582410476113,0.8405646359583953,0.9260225881700811,0.8760017033796601,11314,28780,1057,2146,vae-lstm-local-only,0,144-24
1014319,685.5436825752258,8.065219795002657,4985.672578124999,0.9521380552345016,0.9143108762659621,0.7925190839694657,0.9148931264267103,0.8490697198936822,10382,29296,973,2718,vae-lstm-local-only,0,72-24
1657967,2455.448324203491,28.551724700040594,20853.5671875,0.9818640788937848,0.9542496949979666,0.8626838235294118,0.9335172476687718,0.9061594902490827,14079,26866,675,2241,vae-lstm-local-only,1,576-48
1657967,1303.6565418243408,14.984557952003918,7986.7601953125,0.9889141259955394,0.9310210696920583,0.9651209677419355,0.9641441482253279,0.9477643953143045,14361,28205,1064,519,vae-lstm-local-only,1,288-48
1014319,1341.125636100769,15.415237196560565,9630.390078125003,0.9797196355221147,0.9193537438055801,0.9101478494623656,0.9428073116038869,0.9147276350005066,13543,28081,1188,1337,vae-lstm-local-only,1,288-24
1014319,954.2407341003418,10.968284300003928,4192.071464843751,0.9776359973608528,0.9394829612220916,0.9033898305084745,0.9505113674847041,0.9210829493087557,12792,29309,824,1368,vae-lstm-local-only,1,144-24
1014319,702.1669430732727,8.070884403141065,1868.2963378906263,0.9727602021825665,0.8900800352448784,0.8784057971014493,0.9284345768060408,0.8842043838214376,12122,29068,1497,1678,vae-lstm-local-only,1,72-24
1657967,2561.0893211364746,29.437808288924995,30429.138593749998,0.9100924893443767,0.7734775819763551,0.8674713865782726,0.8600221935366986,0.8177824946198521,13870,24106,4062,2119,vae-lstm-local-only,2,576-48
1657967,1375.585768699646,15.811330674708575,7154.0283203125,0.9234721041969589,0.7105016524441375,0.9708162027364022,0.8582067724153448,0.8205069780689263,14404,23739,5869,433,vae-lstm-local-only,2,288-48
1014319,1392.4198484420776,16.00482584416181,11703.958828125,0.9068157823891092,0.7454059083507792,0.8639212778863652,0.8560692991337608,0.8002996909437143,12818,25230,4378,2019,vae-lstm-local-only,2,288-24
1014319,966.6213393211365,10.984333401376551,3167.865498046876,0.9338204947830653,0.7428618223508217,0.9541406633475913,0.8797012716140752,0.8353490085333661,13607,25618,4710,654,vae-lstm-local-only,2,144-24
1014319,860.3191757202148,9.776354269547896,1806.7187744140622,0.9394535396713624,0.8024723318879037,0.8873541830673441,0.8964196950359374,0.8427814029363785,12399,27636,3052,1574,vae-lstm-local-only,2,72-24
2245327,2916.0264377593994,34.71460044951666,60014.3125,0.9661962455256742,0.9047017543859649,0.8253521126760563,0.904677475796104,0.8632072313357885,12892,25887,1358,2728,vae-lstm-dual-linear,0,576-48
2245327,1421.446551322937,16.72290060379926,26258.170859374997,0.965203220185984,0.9076735873450452,0.8416784203102962,0.9198433480870392,0.8734311537194922,11935,27759,1214,2245,vae-lstm-dual-linear,0,288-48
1601679,1570.559175491333,18.47716677048627,25394.91796875,0.964671734644049,0.8700560960022723,0.8641043723554301,0.9129376868352143,0.8670700208753493,12253,27143,1830,1927,vae-lstm-dual-linear,0,288-24
1601679,969.7915134429932,11.409311922858743,13234.385781250008,0.9583986216142875,0.9109804237492951,0.8401188707280832,0.9247753885950528,0.87411587369072,11308,28732,1105,2152,vae-lstm-dual-linear,0,144-24
1601679,791.1515836715698,9.307665690253762,4211.438398437502,0.9516586654675796,0.9079318901343373,0.81,0.9177984274481773,0.8561746076572397,10611,29193,1076,2489,vae-lstm-dual-linear,0,72-24
2245327,2980.5693492889404,34.65778313126675,20139.506250000002,0.99042202276321,0.9539204756596061,0.94375,0.9621075670869337,0.9488079837368324,15402,26797,744,918,vae-lstm-dual-linear,1,576-48
2245327,1292.139455795288,14.852177652819403,8323.108203125,0.9837256848506089,0.9323645617089668,0.9356854838709677,0.9554463294751863,0.9340220709086641,13923,28259,1010,957,vae-lstm-dual-linear,1,288-48
1601679,1520.1575155258179,17.473074891101355,9199.589023437504,0.9865888845018236,0.9441607533656078,0.9567876344086022,0.9663639040521869,0.9504322574184719,14237,28427,842,643,vae-lstm-dual-linear,1,288-24
1601679,1112.7726030349731,12.790489690057163,4128.63837890625,0.9770868828045007,0.9364131651615792,0.8860875706214689,0.9443478653511842,0.9105555353967851,12547,29281,852,1613,vae-lstm-dual-linear,1,144-24
1601679,919.2753643989563,10.566383498838578,1639.132314453125,0.9771504135875788,0.886077709042886,0.923768115942029,0.9393440775386003,0.9045304573030121,12748,28926,1639,1052,vae-lstm-dual-linear,1,72-24
2245327,3017.4198722839355,34.682987037746386,35782.350624999985,0.9134118333075801,0.8052915640032853,0.8585277378197511,0.8736100731480853,0.8310579688209475,13727,24849,3319,2262,vae-lstm-dual-linear,2,576-48
2245327,1449.8273706436157,16.664682421190985,8111.619824218751,0.9252061175919458,0.7511600302147404,0.9383298510480556,0.8756440544493194,0.8343771538161876,13922,24996,4612,915,vae-lstm-dual-linear,2,288-48
1601679,1462.7494459152222,16.81321202201405,8597.9125,0.9127026898183899,0.6942905204828814,0.9458111478061603,0.8428844639442007,0.800764643784416,14033,23429,6179,804,vae-lstm-dual-linear,2,288-24
1601679,1268.358055114746,14.413159717213023,4033.3245703125,0.9315744209983933,0.7690793006742646,0.9037935628637543,0.882437372446119,0.8310122501611864,12889,26458,3870,1372,vae-lstm-dual-linear,2,144-24
1601679,781.6408944129944,8.882282891056754,1759.533544921876,0.9423986327590519,0.8170417570498916,0.86259214198812,0.8965764313383041,0.8391993037423846,12053,27989,2699,1920,vae-lstm-dual-linear,2,72-24
2250175,4680.620658874512,55.72167451041086,42239.9925,0.9611343704127365,0.7493403693931399,1.0,0.8781056806252188,0.856711915535445,15620,22020,5225,0,vae-lstm-dual-ma,0,576-48
2250175,1361.6501665115356,16.019413723665124,25004.848906250005,0.9696002118990509,0.9162706494682055,0.8566290550070522,0.9271661298171622,0.8854466596202208,12147,27863,1110,2033,vae-lstm-dual-ma,0,288-48
1606527,1709.7267036437988,20.114431807574103,26625.14890624999,0.9691776575993105,0.8994658666861783,0.8669252468265162,0.9244316733483188,0.88289582360757,12293,27599,1374,1887,vae-lstm-dual-ma,0,288-24
1606527,1027.830358505249,12.092121864767636,13709.334375000004,0.9610311643236822,0.9081501684582063,0.8410846953937593,0.9241517888075387,0.8733317904805987,11321,28692,1145,2139,vae-lstm-dual-ma,0,144-24
1606527,817.0577645301819,9.612444288590375,5028.6205078124985,0.9505939364562893,0.9132536473896994,0.793206106870229,0.9147778367036362,0.8490072718359342,10391,29282,987,2709,vae-lstm-dual-ma,0,72-24
2250175,3109.909034729004,36.161732961965164,20362.46875,0.9949075578317818,0.9419669401831371,0.9707107843137255,0.9668498210255124,0.9561228800772528,15842,26565,976,478,vae-lstm-dual-ma,1,576-48
2250175,1527.0703077316284,17.552532272777338,8578.376953125,0.9841907558806576,0.8917765222849968,0.9547043010752688,0.9456839339509389,0.9221681272314184,14206,27545,1724,674,vae-lstm-dual-ma,1,288-48
1606527,1560.5832767486572,17.937738813202955,9030.881484375,0.984327647705727,0.8757214785705514,0.9584677419354839,0.9401571949534531,0.915228133222101,14262,27245,2024,618,vae-lstm-dual-ma,1,288-24
1606527,1142.3093709945679,13.129992770052505,4556.96365234375,0.9719715335459126,0.9427047619047619,0.8737994350282486,0.9426771724651751,0.9069452079897381,12373,29381,752,1787,vae-lstm-dual-ma,1,144-24
1606527,847.1597299575806,9.73746816043196,1785.7065673828124,0.9775508206554336,0.8933323845442255,0.9097101449275362,0.9381269018370337,0.9014468818439667,12554,29066,1499,1246,vae-lstm-dual-ma,1,72-24
2250175,3073.9853839874268,35.333165333188816,31875.382421874987,0.9198927704645851,0.7680985437653323,0.9203827631496654,0.8705528002355233,0.8373733925116649,14716,23725,4443,1273,vae-lstm-dual-ma,2,576-48
2250175,1374.0135793685913,15.793259532972314,10435.342265625,0.9241263108741214,0.7558146020413855,0.9133247961178136,0.8725615929800877,0.8271378868339132,13551,25230,4378,1286,vae-lstm-dual-ma,2,288-48
1606527,1546.5745878219604,17.776719400252418,9170.0233203125,0.9209453219900874,0.7213131678108708,0.941834602682483,0.8591067611654855,0.8169541069862614,13974,24209,5399,863,vae-lstm-dual-ma,2,288-24
1606527,1030.7668471336365,11.713259626518596,3860.059042968751,0.9344827536536653,0.7392679866906671,0.9503541126148236,0.8769203166700307,0.8316254525372767,13553,25548,4780,708,vae-lstm-dual-ma,2,144-24
1606527,858.687008857727,9.757806918837808,1771.4345703125,0.9454843847049132,0.8034432374055016,0.9051026980605453,0.9010322205055865,0.8512485696977856,12647,27594,3094,1326,vae-lstm-dual-ma,2,72-24
10020910,4702.29833984375,335.87845284598217,70185.4234375,0.9371971473493854,0.9538461538461539,0.7492447129909365,0.8937360178970917,0.8392554991539762,248,551,12,83,ma-vae,0,576-48
10020910,2418.567825317383,161.23785502115885,23490.172343750004,0.9484023760531117,0.8804347826086957,0.8073089700996677,0.8988888888888888,0.8422876949740035,243,566,33,58,ma-vae,0,288-48
10020910,4721.423477172852,162.80770610940868,4375.478330078125,0.9341125653427951,0.6765714285714286,0.9932885906040269,0.8404669260700389,0.804894629503739,592,920,283,4,ma-vae,0,288-24
10020910,2347.1933250427246,80.93770086354223,1687.0787841796866,0.9297293212068322,0.6662606577344702,0.9664310954063604,0.8376731301939058,0.7887527036770008,547,965,274,19,ma-vae,0,144-24
10020910,1244.3351097106934,42.90810723140322,819.7329425048833,0.9259385192468457,0.6530880420499343,0.9019963702359347,0.8241150442477876,0.7576219512195123,497,993,264,54,ma-vae,0,72-24
10020910,4912.377838134766,327.491855875651,4130.72265625,0.9729045636826615,0.990506329113924,0.9020172910662824,0.9595185995623632,0.9441930618401206,313,564,3,34,ma-vae,1,576-48
10020910,2455.0406036376953,163.66937357584635,2171.470029296876,0.9437591223692263,0.916083916083916,0.8264984227129337,0.9141304347826087,0.8689883913764511,262,579,24,55,ma-vae,1,288-48
10020910,4804.138275146484,165.65994052229257,2289.095092773437,0.9673879289018954,0.8517964071856288,0.9089456869009584,0.9152173913043479,0.8794435857805255,569,1115,99,57,ma-vae,1,288-24
10020910,2396.157112121582,82.62610731453731,1053.4288635253906,0.9233308724832214,0.8321299638989169,0.7734899328859061,0.8764897074756229,0.8017391304347826,461,1157,93,135,ma-vae,1,144-24
